x,y,vx,vy
4.418133532860343138e+01,-4.792411037803557150e+01,1.194152603786734446e+01,-2.600780855913542133e+00
4.537550968813955876e+01,-4.818422069291962373e+01,1.194344084159340547e+01,-2.600906295567496862e+00
4.657030199678523985e+01,-4.844504552354589322e+01,1.197328872215578954e+01,-2.602068658424246728e+00
4.776850328729297956e+01,-4.870733279098078583e+01,1.201910782185070836e+01,-2.600960790256378719e+00
4.897188326945526171e+01,-4.897156400417532041e+01,1.207099571610563160e+01,-2.595446560280282089e+00
5.018146859363028511e+01,-4.923821165271508704e+01,1.212166131868647057e+01,-2.585576404062403633e+00
5.139783311450564440e+01,-4.950792961610531506e+01,1.216717099727190288e+01,-2.572743664288435816e+00
5.262131878899607074e+01,-4.978129363034142330e+01,1.220610592670943007e+01,-2.558584782500385568e+00
5.385226010746886516e+01,-5.005905791122194159e+01,1.223793076050379547e+01,-2.544666783952013400e+00
5.509094149915492267e+01,-5.034208216245276191e+01,1.226369995959887937e+01,-2.531730542707562925e+00
5.633768677441563000e+01,-5.063115410153723417e+01,1.228449543601598570e+01,-2.520122202425427282e+00
5.759291973422742217e+01,-5.092710646231118687e+01,1.230102225165833829e+01,-2.510100991530278769e+00
5.885693284042421425e+01,-5.123060571462420398e+01,1.231438376469088958e+01,-2.501452471415269940e+00
6.013003672873334438e+01,-5.154220512439614055e+01,1.232481707464316756e+01,-2.494341580674199754e+00
6.141247599515078548e+01,-5.186254216315136745e+01,1.233270218643631644e+01,-2.488750124967912480e+00
6.270451412541257241e+01,-5.219241467859362160e+01,1.233933616486756790e+01,-2.483895659796162114e+00
6.400635818906675922e+01,-5.253205773838902104e+01,1.234415703348153848e+01,-2.480279293395303064e+00
6.531799074593993737e+01,-5.288193619608308182e+01,1.234835418035801347e+01,-2.477068545075959527e+00
6.663944691591065350e+01,-5.324203661631339202e+01,1.235083668663541268e+01,-2.475141683536198567e+00
6.797027051974178846e+01,-5.361258530618073337e+01,1.235257912327998220e+01,-2.473776740527224405e+00
6.931008018044443020e+01,-5.399341729365205111e+01,1.235402781100322755e+01,-2.472633979299142304e+00
7.065851679147128550e+01,-5.438415475592421444e+01,1.235478562634810196e+01,-2.472033309232882559e+00
7.201486241342766448e+01,-5.478435704758495461e+01,1.235524367424800651e+01,-2.471669279335362734e+00
7.337865374034032584e+01,-5.519364533835892672e+01,1.235473644837582263e+01,-2.472072349729728113e+00
7.474917880653228508e+01,-5.561198390501414934e+01,1.235400865595535436e+01,-2.472649136486169574e+00
7.612604565429828085e+01,-5.603910888204772078e+01,1.235286646512541786e+01,-2.473550652233917901e+00
7.750845816450245707e+01,-5.647445860903884096e+01,1.235145094149956790e+01,-2.474661688371534218e+00
7.889591876074355525e+01,-5.691776165707063484e+01,1.235022079443693244e+01,-2.475621669576234307e+00
8.028802782246238223e+01,-5.736840163559163130e+01,1.234892931044192999e+01,-2.476623995323464555e+00
8.168433417954649656e+01,-5.782593172419991845e+01,1.234736166157269288e+01,-2.477833105118138590e+00
8.308415925347466668e+01,-5.828984516832369422e+01,1.234545552467890417e+01,-2.479292221066517143e+00
8.448705323180118398e+01,-5.875998483978072073e+01,1.234430363665447317e+01,-2.480168128949412854e+00
8.589295576329496384e+01,-5.923550417686811898e+01,1.234281890841004881e+01,-2.481290685235866711e+00
8.730113899538545752e+01,-5.971587083273547591e+01,1.234116230238491063e+01,-2.482534680674570282e+00
8.871114647884660087e+01,-6.020072152477980865e+01,1.233970480545057846e+01,-2.483621788127413854e+00
9.012292008754118910e+01,-6.068979838642047753e+01,1.233793561507146208e+01,-2.484932178447672779e+00
9.153597514706595462e+01,-6.118285332892636319e+01,1.233607837234464988e+01,-2.486297015748015760e+00
9.294996372697175957e+01,-6.167957011223854380e+01,1.233357832597414472e+01,-2.488116972377719893e+00
9.436459550799000340e+01,-6.218038259112791621e+01,1.233078692852010327e+01,-2.490125870381772355e+00
9.577947144974621096e+01,-6.268514618584033826e+01,1.232820408416234415e+01,-2.491963171104589314e+00
9.719438711881061010e+01,-6.319334532116979375e+01,1.232579824725826612e+01,-2.493656171646811082e+00
9.860924105025628705e+01,-6.370464574507484912e+01,1.232372898058901001e+01,-2.495098282810697565e+00
1.000240845462361108e+02,-6.421873112626458635e+01,1.232159313656738497e+01,-2.496573299559416093e+00
1.014387114821340674e+02,-6.473540269872941622e+01,1.231928486226693842e+01,-2.498152124983585409e+00
1.028528675192246737e+02,-6.525452265323494316e+01,1.231672026016690324e+01,-2.499887849095885795e+00
1.042663937334624933e+02,-6.577621761257339017e+01,1.231369801317142354e+01,-2.501908678253639717e+00
1.056788331973358197e+02,-6.630043567053283482e+01,1.231082476097889788e+01,-2.503805451722621811e+00
1.070900982220766906e+02,-6.682682477871540527e+01,1.230854631692974976e+01,-2.505292816546101697e+00
1.085004106659163909e+02,-6.735493241720382684e+01,1.230653828848131504e+01,-2.506591487892264158e+00
1.099097656165527042e+02,-6.788438663684199526e+01,1.230395019603288631e+01,-2.508248643244729958e+00
1.113179014258773378e+02,-6.841558246384894915e+01,1.230167119841510193e+01,-2.509692478870149568e+00
1.127247834950559593e+02,-6.894804280295618071e+01,1.229939092484672969e+01,-2.511122811323349691e+00
1.141303253413825587e+02,-6.948162820561832120e+01,1.229675753502944424e+01,-2.512756985560775203e+00
1.155343260977177380e+02,-7.001648538885247319e+01,1.229500871726325251e+01,-2.513831858468374314e+00
1.169371729381977474e+02,-7.055197409236012618e+01,1.229364204815997397e+01,-2.514666129216142743e+00
1.183388833485815326e+02,-7.108759370942203759e+01,1.229261172782473821e+01,-2.515291775925202700e+00
1.197396612131397404e+02,-7.162317607802830821e+01,1.229140746549076191e+01,-2.516019462611613466e+00
1.211392522567953449e+02,-7.215854643477427999e+01,1.229009804592612021e+01,-2.516806326422556417e+00
1.225376090742229707e+02,-7.269376054801661269e+01,1.228895768933603527e+01,-2.517487906871862968e+00
1.239347937099300196e+02,-7.322867747002919714e+01,1.228822411136083659e+01,-2.517924550939822481e+00
1.253308994361600526e+02,-7.376285828833233893e+01,1.228737366481167115e+01,-2.518428991322603228e+00
1.267258137014722621e+02,-7.429628035449822221e+01,1.228642558948636676e+01,-2.518989110145625432e+00
1.281194683601058557e+02,-7.482896546080779387e+01,1.228495274425744199e+01,-2.519854615300005651e+00
1.295115385065012674e+02,-7.536107566905113231e+01,1.228313178484698653e+01,-2.520916910045428061e+00
1.309019075322707408e+02,-7.589288098946232708e+01,1.228179791453085912e+01,-2.521689623319239626e+00
1.322906975856768099e+02,-7.642388214617055553e+01,1.228109754823801936e+01,-2.522093516906362076e+00
1.336782559589578909e+02,-7.695376666555553413e+01,1.228031787161007493e+01,-2.522541670492590704e+00
1.350643938763961955e+02,-7.748231193312943788e+01,1.228012458951973151e+01,-2.522652527591114247e+00
1.364494475047039543e+02,-7.800928201035767984e+01,1.227980852055689098e+01,-2.522833603757531851e+00
1.378332210678610465e+02,-7.853448665551582053e+01,1.227925240301856213e+01,-2.523151585709269007e+00
1.392155075705485672e+02,-7.905790408099660738e+01,1.227903659727531327e+01,-2.523274769003289730e+00
1.405965075078040343e+02,-7.957941766937187822e+01,1.227920287732063720e+01,-2.523179865770545316e+00
1.419762842758798911e+02,-8.009860555929924431e+01,1.227934570831698657e+01,-2.523098289750431711e+00
1.433549155225315985e+02,-8.061566214283601539e+01,1.227965043684900870e+01,-2.522924074460686228e+00
1.447322682129175746e+02,-8.113014366829568758e+01,1.227902986356016690e+01,-2.523278610744692063e+00
1.461079961406918528e+02,-8.164269776526874978e+01,1.227845209740655008e+01,-2.523607810610897673e+00
1.474820737749095940e+02,-8.215319263677930905e+01,1.227806179485295068e+01,-2.523829717695618591e+00
1.488545398824200561e+02,-8.266145452924683923e+01,1.227706913168463210e+01,-2.524392358645958900e+00
1.502251355657808460e+02,-8.316782257776074516e+01,1.227601710922901646e+01,-2.524985926559558891e+00
1.515938447233006059e+02,-8.367234273722057480e+01,1.227438894865129626e+01,-2.525899069022778498e+00
1.529606143473426698e+02,-8.417562560597197319e+01,1.227272618118288605e+01,-2.526824765891028335e+00
1.543254163125612024e+02,-8.467763296728014666e+01,1.227122051280319681e+01,-2.527657056866333907e+00
1.556882948850527271e+02,-8.517820347082162868e+01,1.227015043320987786e+01,-2.528245146854501080e+00
1.570493034166838129e+02,-8.567683365084786828e+01,1.226885832305792334e+01,-2.528951487772032714e+00
1.584083786313793496e+02,-8.617369300426747714e+01,1.226703112850419863e+01,-2.529943323632880769e+00
1.597653666799975554e+02,-8.666914827642443697e+01,1.226489892814244520e+01,-2.531090391232062586e+00
1.611201321756160496e+02,-8.716332016420541606e+01,1.226347603797862007e+01,-2.531849712131259977e+00
1.624730415533538235e+02,-8.765594410889130472e+01,1.226210126339914552e+01,-2.532578698524870386e+00
1.638239692316363403e+02,-8.814670981935924488e+01,1.226018979974572787e+01,-2.533584697722678580e+00
1.651727255498369118e+02,-8.863590664259039897e+01,1.225846366874112015e+01,-2.534485625991427682e+00
1.665194192897204744e+02,-8.912345329970131047e+01,1.225696464462582291e+01,-2.535262249966585557e+00
1.678640713872334800e+02,-8.960906120562677302e+01,1.225554219728793370e+01,-2.535994263887896061e+00
1.692065256872057830e+02,-9.009232039176737317e+01,1.225377989959557823e+01,-2.536894532923521961e+00
1.705468342798221499e+02,-9.057369491326741695e+01,1.225169220035407314e+01,-2.537951575706030027e+00
1.718848187344270855e+02,-9.105323803090459478e+01,1.224916403577172197e+01,-2.539217986027257901e+00
1.732203339155937272e+02,-9.153115191405703399e+01,1.224615169698019557e+01,-2.540707547448171510e+00
1.745532935081728283e+02,-9.200778171674784289e+01,1.224365245745583408e+01,-2.541927509389290130e+00
1.758839428379102685e+02,-9.248291300140026294e+01,1.224093120648754329e+01,-2.543239588020238084e+00
1.772121583125255029e+02,-9.295653271255514483e+01,1.223802821682476250e+01,-2.544620747506006087e+00
1.785378297156242127e+02,-9.342856627104217182e+01,1.223505354086362473e+01,-2.546016302034348922e+00
1.798609605824872233e+02,-9.389904709173700326e+01,1.223145679420442278e+01,-2.547677268459501931e+00
1.811814230827915821e+02,-9.436836785829268592e+01,1.222767263243996894e+01,-2.549393823289729966e+00
1.824990907225352430e+02,-9.483641591996277498e+01,1.222349071454672753e+01,-2.551254232992795412e+00
1.838138256732773073e+02,-9.530328329488470729e+01,1.221894357457655644e+01,-2.553233982296281290e+00
1.851255149063682666e+02,-9.576906120985948689e+01,1.221486484956360918e+01,-2.554971941548629832e+00
1.864343643177913634e+02,-9.623350642374600739e+01,1.221118402393749491e+01,-2.556509918429432648e+00
1.877405777080767280e+02,-9.669650828240628471e+01,1.220873168163297606e+01,-2.557518687939134949e+00
1.890445856340157604e+02,-9.715740124168681291e+01,1.220633816382769155e+01,-2.558491072765005647e+00
1.903464114569029846e+02,-9.761612332577399798e+01,1.220411040170683492e+01,-2.559385356313912396e+00
1.916460863861081521e+02,-9.807245318348212493e+01,1.220132875766211988e+01,-2.560487494426349819e+00
1.929433900312878336e+02,-9.852650091627620554e+01,1.219787750077757593e+01,-2.561832712319173311e+00
1.942382016737324477e+02,-9.897872330010204678e+01,1.219449051612685508e+01,-2.563129100226454238e+00
1.955305326767805241e+02,-9.942893687856985707e+01,1.219177447143969673e+01,-2.564151775025596436e+00
1.968206879825802389e+02,-9.987696865476912933e+01,1.218976737955471457e+01,-2.564897890749306519e+00
1.981088127299443897e+02,-1.003222520228040366e+02,1.218796373861323445e+01,-2.565561433467649977e+00
1.993950722016461441e+02,-1.007648927312224885e+02,1.218578333463369034e+01,-2.566354844008448488e+00
2.006793377086440842e+02,-1.012049535375331146e+02,1.218326506251811914e+01,-2.567259343905111013e+00
2.019614636224612241e+02,-1.016424164486501240e+02,1.218035401193065148e+01,-2.568289161409519572e+00
2.032413735675081057e+02,-1.020774598453994173e+02,1.217813186369798117e+01,-2.569063952972470588e+00
2.045193002335218466e+02,-1.025097856772395630e+02,1.217643100380415255e+01,-2.569650394842851071e+00
2.057954268069345289e+02,-1.029391719292162009e+02,1.217483823758643169e+01,-2.570194400650648525e+00
2.070697534258444819e+02,-1.033654556906058701e+02,1.217257827261515324e+01,-2.570957740518183154e+00
2.083420858116400325e+02,-1.037888269473073279e+02,1.217090736364507286e+01,-2.571515691464211883e+00
2.096126206664377492e+02,-1.042090298150013865e+02,1.216890168000892913e+01,-2.572178241505626239e+00
2.108813558829959049e+02,-1.046264404760204769e+02,1.216695466423931471e+01,-2.572813932959991501e+00
2.121483148900266258e+02,-1.050409808393337272e+02,1.216519475430025565e+01,-2.573382216473213191e+00
2.134134959265715850e+02,-1.054523589823247107e+02,1.216264804674373323e+01,-2.574193975329007955e+00
2.146767072369553659e+02,-1.058608341619760296e+02,1.215961374830171593e+01,-2.575144875352046281e+00
2.159378305241523321e+02,-1.062665556607923918e+02,1.215624285367844237e+01,-2.576180606660968930e+00
2.171968179448104479e+02,-1.066696663781641234e+02,1.215200420781608770e+01,-2.577452283911450426e+00
2.184534081478013547e+02,-1.070701846142318061e+02,1.214696305794418052e+01,-2.578920527106232541e+00
2.197074560212005281e+02,-1.074684517591461770e+02,1.214147770933695369e+01,-2.580463991466761975e+00
2.209588688032356174e+02,-1.078644797041583274e+02,1.213580027839698339e+01,-2.582002534069063326e+00
2.222077302114062434e+02,-1.082586461731925311e+02,1.213029088118224941e+01,-2.583438638703354329e+00
2.234540724952673543e+02,-1.086506494097466202e+02,1.212399223027634498e+01,-2.585012344032523224e+00
2.246977573286561380e+02,-1.090408034708238887e+02,1.211867319310960767e+01,-2.586285103429032617e+00
2.259391027875024633e+02,-1.094288018640873474e+02,1.211193883802045512e+01,-2.587823267196866617e+00
2.271777363045137008e+02,-1.098148324976210972e+02,1.210520595469200700e+01,-2.589279857695775622e+00
2.284137377240595868e+02,-1.101989011489813208e+02,1.209928490717596183e+01,-2.590494167922340107e+00
2.296473887453901739e+02,-1.105808314943120934e+02,1.209289256951670843e+01,-2.591735579890793950e+00
2.308786293766740982e+02,-1.109608188620607621e+02,1.208670428672161634e+01,-2.592868988695439914e+00
2.321075560419520230e+02,-1.113387451035681437e+02,1.208032821124480805e+01,-2.593966846307958818e+00
2.333341184312836845e+02,-1.117143132612046941e+02,1.207341324765199175e+01,-2.595077699659745551e+00
2.345582765660633697e+02,-1.120878194222788409e+02,1.206624495032960453e+01,-2.596142088016311078e+00
2.357799866348790658e+02,-1.124591225333271467e+02,1.205917900254180530e+01,-2.597104898732033540e+00
2.369993406424731575e+02,-1.128281722438168373e+02,1.205225237744655331e+01,-2.597965889015179553e+00
2.382164349028420816e+02,-1.131950064287635342e+02,1.204403491592531239e+01,-2.598881461523724123e+00
2.394310129716963615e+02,-1.135599605015351159e+02,1.203482026270280159e+01,-2.599772099596544095e+00
2.406428623538464535e+02,-1.139228870038659949e+02,1.202694025458621851e+01,-2.600420121813215246e+00
2.418524094425759756e+02,-1.142838300330471526e+02,1.201900780703304150e+01,-2.600967028650458701e+00
2.430596863337123636e+02,-1.146425497534476108e+02,1.201049832628707215e+01,-2.601436447917555572e+00
2.442646021748256828e+02,-1.149990307080495313e+02,1.200227356295271441e+01,-2.601775059320349470e+00
2.454672879878796152e+02,-1.153532046401570170e+02,1.199358122270563598e+01,-2.602010160537730155e+00
2.466676996583193500e+02,-1.157049426557378808e+02,1.198469830372737910e+01,-2.602120233987862186e+00
2.478658536194517978e+02,-1.160541695588134274e+02,1.197553419391198481e+01,-2.602095958421462907e+00
2.490617604691436497e+02,-1.164009069501858562e+02,1.196629542878478425e+01,-2.601929770888230742e+00
2.502554691740551220e+02,-1.167454837317970515e+02,1.195816533453729846e+01,-2.601665733608558018e+00
2.514473205961446070e+02,-1.170872985876957699e+02,1.195001686211663205e+01,-2.601290300598726901e+00
2.526373941093517601e+02,-1.174261727803017550e+02,1.194059066925754742e+01,-2.600717343072966869e+00
2.538254470772553191e+02,-1.177625039481143716e+02,1.193057594383427933e+01,-2.599945194609195376e+00
2.550114484512216677e+02,-1.180960021447531716e+02,1.191985280281992310e+01,-2.598931043135842778e+00
2.561952925352732677e+02,-1.184268470375602647e+02,1.190820000634087172e+01,-2.597608116908371567e+00
2.573768941595862998e+02,-1.187548386903619644e+02,1.189777895865808155e+01,-2.596228969468238112e+00
2.585566341868079689e+02,-1.190798168454751078e+02,1.188553672488098378e+01,-2.594370511109623578e+00
2.597341730280136289e+02,-1.194020410537938801e+02,1.187349147168079533e+01,-2.592288443037404466e+00
2.609097109834558523e+02,-1.197211321869076954e+02,1.186077224891312731e+01,-2.589813947195803934e+00
2.620831998281576602e+02,-1.200371421701521371e+02,1.184771362442581477e+01,-2.586974817970757012e+00
2.632546999248744442e+02,-1.203499321196053415e+02,1.183467244824482734e+01,-2.583833169779713224e+00
2.644243901840799822e+02,-1.206592362281075594e+02,1.181960401764692037e+01,-2.579815399985321722e+00
2.655919885281494999e+02,-1.209650820329758716e+02,1.180350753396220043e+01,-2.575054790855857867e+00
2.667573553214596700e+02,-1.212676922381445763e+02,1.178579458778136413e+01,-2.569242219278975892e+00
2.679202576548853472e+02,-1.215671499735386050e+02,1.176686713626813585e+01,-2.562345905464976870e+00
2.690806003562014439e+02,-1.218633756045763761e+02,1.174685334087944000e+01,-2.554254877561205728e+00
2.702381820692916108e+02,-1.221565723831911328e+02,1.172498542160062307e+01,-2.544432738202262456e+00
2.713927648568501922e+02,-1.224465719102692702e+02,1.170175943801522500e+01,-2.532816075163375480e+00
2.725443947503050595e+02,-1.227328545373952977e+02,1.167653072288248062e+01,-2.518720673502873098e+00
2.736928498186212551e+02,-1.230152040839220433e+02,1.164956417055740978e+01,-2.501809676418213169e+00
2.748379007432299659e+02,-1.232934365188160513e+02,1.162122763408943271e+01,-2.481768861356506761e+00
2.759796890207971387e+02,-1.235668973184543802e+02,1.159216127614231695e+01,-2.458477596707347779e+00
2.771181273595555012e+02,-1.238354112120896957e+02,1.156099991820998696e+01,-2.429920568998397368e+00
2.782533705164590287e+02,-1.240980567644193542e+02,1.153099328785301481e+01,-2.398181259636261942e+00
2.793855443585185867e+02,-1.243548209269504667e+02,1.150364982038259143e+01,-2.364705530122839683e+00
2.805148298690399429e+02,-1.246059299045306403e+02,1.147877007028552576e+01,-2.329321625853779665e+00
2.816414742755209772e+02,-1.248514187125035164e+02,1.145713043949132270e+01,-2.293368002669672556e+00
2.827659032221280313e+02,-1.250913922000008540e+02,1.143781100271267981e+01,-2.255462815344234428e+00
2.838882125374162797e+02,-1.253258362454448473e+02,1.142159575376406977e+01,-2.217248536727381758e+00
2.850087341932571690e+02,-1.255548435221160020e+02,1.140863615257777397e+01,-2.179867462583671145e+00
2.861278349048851624e+02,-1.257786187425981126e+02,1.139909365610680858e+01,-2.145526926027438996e+00
2.872457072209957119e+02,-1.259976898511930017e+02,1.139258496373036245e+01,-2.115868156431415237e+00
2.883624215058952700e+02,-1.262127612676017634e+02,1.138812464214938558e+01,-2.089658621558834195e+00
2.894780279048334819e+02,-1.264243035323789002e+02,1.138494969162184667e+01,-2.064436622088055007e+00
2.905926382170918032e+02,-1.266324271370415175e+02,1.138292175168994724e+01,-2.040310407170732532e+00
2.917063939456115236e+02,-1.268372374308553674e+02,1.138190143722343706e+01,-2.017456841342029961e+00
2.928194742675318594e+02,-1.270388673163444224e+02,1.138171516261718530e+01,-1.998737803240669741e+00
2.939318244650389715e+02,-1.272378473068629177e+02,1.138206912531413728e+01,-1.981244341811664311e+00
2.950435569986369160e+02,-1.274343098967152343e+02,1.138285999081930200e+01,-1.964926183329595899e+00
2.961546643667411445e+02,-1.276283906736278482e+02,1.138389208066122293e+01,-1.950951410465443070e+00
2.972651882319946708e+02,-1.278203807463139441e+02,1.138526652497162495e+01,-1.936855605484532061e+00
2.983750147925658780e+02,-1.280102138363268125e+02,1.138699494294182912e+01,-1.922633983619820297e+00
2.994844764995565356e+02,-1.281978621087102965e+02,1.138875506937633730e+01,-1.910423366379887300e+00
3.005935320725586735e+02,-1.283835830753206722e+02,1.139098493651399302e+01,-1.897012932701790389e+00
3.017023410172962485e+02,-1.285671917930623067e+02,1.139388126551921943e+01,-1.881867281085032761e+00
3.028106567736609236e+02,-1.287483247397871651e+02,1.139745013717813116e+01,-1.865578914919077125e+00
3.039190937119070099e+02,-1.289268787929035511e+02,1.140116575243316355e+01,-1.850557577943139798e+00
3.050274694782402207e+02,-1.291029679736880666e+02,1.140461905008318766e+01,-1.837898803689207439e+00
3.061358588514578400e+02,-1.292769497078515712e+02,1.140795085129321862e+01,-1.826612729764520715e+00
3.072441209269276783e+02,-1.294489725983706307e+02,1.141215439272147769e+01,-1.813417767365034017e+00
3.083525995919887350e+02,-1.296187843533969328e+02,1.141759603698949377e+01,-1.797725113830599852e+00
3.094613028517167095e+02,-1.297859037091690766e+02,1.142406476507477109e+01,-1.780685347591995482e+00
3.105705242222433640e+02,-1.299501434305655607e+02,1.143268577613607562e+01,-1.760100327411822319e+00
3.116807137213988881e+02,-1.301109495910655198e+02,1.144192852498137647e+01,-1.740133949686280213e+00
3.127917133477721450e+02,-1.302682698027141441e+02,1.145157027399987903e+01,-1.721135614929854674e+00
3.139036040358897708e+02,-1.304222097879693365e+02,1.146140837444920102e+01,-1.703312016601610468e+00
3.150164403267168041e+02,-1.305729252828079439e+02,1.147104170573629034e+01,-1.687131823091409855e+00
3.161300916012923494e+02,-1.307205604667241801e+02,1.147944273412214145e+01,-1.673902123959366994e+00
3.172445408331896601e+02,-1.308656627410032343e+02,1.148780592499888265e+01,-1.661447313022260008e+00
3.183597058136080591e+02,-1.310082595692553582e+02,1.149511580437744307e+01,-1.651085842548669858e+00
3.194756995115836276e+02,-1.311488685229111866e+02,1.150143204734847835e+01,-1.642492705347740722e+00
3.205922845027251356e+02,-1.312877053888070407e+02,1.150742431032615265e+01,-1.634626308310188625e+00
3.217094620635380693e+02,-1.314249111570729269e+02,1.151300870226445028e+01,-1.627530272669264200e+00
3.228273083140095423e+02,-1.315607188362178590e+02,1.151851884142392812e+01,-1.620738081537165698e+00
3.239456915371952732e+02,-1.316950532214638088e+02,1.152238418554365929e+01,-1.616091623279543033e+00
3.250645290677223898e+02,-1.318284448839944787e+02,1.152503035961850308e+01,-1.612964830403019301e+00
3.261836657671021271e+02,-1.319611903770967558e+02,1.152633181170756949e+01,-1.611442753837073028e+00
3.273029692344784394e+02,-1.320936344080348306e+02,1.152781778103865129e+01,-1.609717376501446751e+00
3.284227108330193801e+02,-1.322259433542271552e+02,1.152906527940100467e+01,-1.608279056063624646e+00
3.295427107167721488e+02,-1.323580525543538045e+02,1.153080226995065338e+01,-1.606291621458789676e+00
3.306629964314616927e+02,-1.324898228875407824e+02,1.153091523950685371e+01,-1.606162973024910734e+00
3.317834976573234940e+02,-1.326217468053080495e+02,1.153125498370457613e+01,-1.605776521884398900e+00
3.329043234926165837e+02,-1.327538444050337318e+02,1.153194749325798618e+01,-1.604990872799089141e+00
3.340255393588377615e+02,-1.328860503665604256e+02,1.153257056556591209e+01,-1.604286356083125309e+00
3.351471650718222577e+02,-1.330184089832464451e+02,1.153348884672890762e+01,-1.603252085111544600e+00
3.362692535232499722e+02,-1.331508618240196142e+02,1.153441982742580585e+01,-1.602208393517109419e+00
3.373918707935627026e+02,-1.332834734659776359e+02,1.153484219760137641e+01,-1.601736499256927626e+00
3.385150073128467056e+02,-1.334164037874433859e+02,1.153620277653707227e+01,-1.600223173660300313e+00
3.396386210685611218e+02,-1.335493131680390491e+02,1.153750549867994835e+01,-1.598783821945195971e+00
3.407627209999897673e+02,-1.336822388625968472e+02,1.153758536550279779e+01,-1.598695882606504748e+00
3.418873387263006975e+02,-1.338156177660422941e+02,1.153757978248086324e+01,-1.598702028793580698e+00
3.430122495275699066e+02,-1.339492631610231683e+02,1.153742397098424810e+01,-1.598873626123563874e+00
3.441376392332300043e+02,-1.340834082522397068e+02,1.153745592030726996e+01,-1.598838429040513764e+00
3.452634926294993534e+02,-1.342179647793966240e+02,1.153688840809965299e+01,-1.599464466291552256e+00
3.463897288598610658e+02,-1.343530583962174774e+02,1.153656188287202333e+01,-1.599825468960514918e+00
3.475164879844902543e+02,-1.344887309626672049e+02,1.153570513518478080e+01,-1.600775486350497046e+00
3.486436110062687135e+02,-1.346250033452698460e+02,1.153468505522676324e+01,-1.601911949947791181e+00
3.497710947874926433e+02,-1.347619326423768484e+02,1.153333150339871338e+01,-1.603428962146516756e+00
3.508989296603704702e+02,-1.348995914960322295e+02,1.153162284992393616e+01,-1.605358835054102817e+00
3.520271507166108904e+02,-1.350381243112528864e+02,1.153001286411633863e+01,-1.607192659149369041e+00
3.531557373580322974e+02,-1.351774797976356695e+02,1.152936524172976540e+01,-1.607934581800456009e+00
3.542848312459963722e+02,-1.353174876127291668e+02,1.153044818560527851e+01,-1.606695328935088263e+00
3.554146968024616058e+02,-1.354578393669216325e+02,1.153092750714538361e+01,-1.606149007234740411e+00
3.565451510235019441e+02,-1.355985580277883855e+02,1.153173399782027175e+01,-1.605232787792928439e+00
3.576763162143399200e+02,-1.357396585347998723e+02,1.153403577453708806e+01,-1.602638349173842514e+00
